city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
抚州,-羊城路与抚河大道交汇处,88㎡,中层（共31层）,滨江壹号,73万,江西,2室2厅,南向,8295元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201826.htm
抚州,-羊城路与抚河大道交汇处,88㎡,中层（共31层）,滨江壹号,73万,江西,2室2厅,南向,8295元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201826.htm
晋中,太谷城区-太谷-太谷城区-天利达小区,88㎡,低层（共17层）,天利达小区,45万,山西,2室2厅,南北向,5114元/㎡,2015年建,https://jinzhong.esf.fang.com/chushou/3_151053204.htm
晋中,太谷城区-太谷-太谷城区-天利达小区,88㎡,低层（共17层）,天利达小区,45万,山西,2室2厅,南北向,5114元/㎡,2015年建,https://jinzhong.esf.fang.com/chushou/3_151053204.htm
晋中,太谷城区-太谷-太谷城区-科苑假日风情,126㎡,高层（共6层）,科苑假日风情,66万,山西,3室2厅,南向,5238元/㎡,2015年建,https://jinzhong.esf.fang.com/chushou/3_151059408.htm
晋中,太谷城区-太谷-太谷城区-科苑假日风情,126㎡,高层（共6层）,科苑假日风情,66万,山西,3室2厅,南向,5238元/㎡,2015年建,https://jinzhong.esf.fang.com/chushou/3_151059408.htm
晋中,太谷城区-太谷-太谷城区-阳光花园,127㎡,低层（共6层）,阳光花园,75万,山西,3室2厅,南向,5906元/㎡,2015年建,https://jinzhong.esf.fang.com/chushou/3_151053199.htm
晋中,太谷城区-太谷-太谷城区-阳光花园,127㎡,低层（共6层）,阳光花园,75万,山西,3室2厅,南向,5906元/㎡,2015年建,https://jinzhong.esf.fang.com/chushou/3_151053199.htm
晋中,顺城路,137㎡,低层（共6层）,榆次郭家堡三区,55万,山西,3室2厅,西向,4015元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201839.htm
晋中,顺城路,137㎡,低层（共6层）,榆次郭家堡三区,55万,山西,3室2厅,西向,4015元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201839.htm
晋中,迎宾街,80㎡,高层（共5层）,迎宾路人防宿舍啊,49万,山西,2室2厅,南北向,6125元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201942.htm
晋中,迎宾街,80㎡,高层（共5层）,迎宾路人防宿舍啊,49万,山西,2室2厅,南北向,6125元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201942.htm
晋中,康宁路,138㎡,高层（共6层）,职教艺墅,75万,山西,3室2厅,南北向,5435元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201943.htm
